repo,file,total_ccn,max_ccn,function_count,total_nloc,n_revs,hotspot_score
posx-frido-backend,src/workflows/order-detail/steps/create-exchange-order-detail-step.ts,38,20,8,281,15,570
posx-frido-store,src/store/apis/cart.request.ts,57,4,22,222,10,570
posx-mokobara-backend,src/scripts/migrate-historical-orders.ts,188,24,41,855,3,564
posx-mokobara-admin,src/routes/store-details/store-details-create/components/payment-create-form/payment-create-form.tsx,51,16,12,274,11,561
posx-mokobara-admin,src/routes/employees/employee-list/components/employee-list-table/employee-list-table.tsx,51,33,11,314,11,561
posx-comet-store,src/components/app/home/checkout-button.tsx,40,11,19,159,14,560
posx-comet-store,src/components/primitives/date-range-picker.tsx,43,14,10,116,13,559
posx-comet-store,src/components/app/order/steps/payment-details/index.tsx,23,5,9,146,24,552
posx-frido-b2b-backend,src/workflows/online-order/steps/confirm-online-order-step.ts,69,53,11,573,8,552
posx-mokobara-backend,src/modules/offer-engine/service.ts,46,12,14,217,12,552
posx-ugaoo-store,src/components/app/inventory/sku-request/index.tsx,69,11,19,430,8,552
posx-eume-store,src/libs/calculate-product-exchange-value.ts,50,8,23,182,11,550
posx-eume-store,src/components/app/product/custom-discount/index.tsx,50,20,10,171,11,550
posx-frido-admin,src/routes/store-details/store-details-create/components/store-details-create-form/store-details-create-form.tsx,50,14,13,363,11,550
posx-frido-store,src/components/layouts/app/sidebar.tsx,26,12,10,129,21,546
posx-ugaoo-admin,src/routes/assortments/assortment-edit/assortment-edit.tsx,91,21,36,402,6,546
posx-ugaoo-backend,src/workflows/payment-detail/steps/create-refund-payment-step.ts,39,14,10,152,14,546
posx-mokobara-backend,src/workflows/order-detail/steps/cancel-confirmed-pos-order-step.ts,68,48,9,220,8,544
posx-comet-store,src/components/exchange/OrderProductCard.tsx,54,26,18,254,10,540
posx-comet-store,src/components/app/loss-of-sales/product-variant-selector.tsx,60,15,21,277,9,540
posx-comet-store,src/pages/products/index.tsx,27,6,18,171,20,540
posx-eume-store,src/components/app/order/order-summary.tsx,45,26,10,124,12,540
posx-frido-admin,src/routes/employees/employee-edit/components/edit-employee-form/edit-employee-form.tsx,30,17,8,226,18,540
posx-mokobara-store,src/pages/orders/index.tsx,54,12,22,269,10,540
posx-ugaoo-admin,src/routes/store-coupons/coupon-create/components/discount-configuration-form/discount-configuration-form.tsx,45,10,13,168,12,540
posx-comet-store,src/components/app/orders/order-report-cards.tsx,49,35,7,226,11,539
posx-frido-backend,src/lib/helpers/push-order-to-shopify.ts,41,28,6,220,13,533
posx-frido-store,src/pages/orders/details/order-details.tsx,41,16,12,222,13,533
posx-mokobara-backend,src/jobs/shopify-coupon-sync.ts,53,28,11,169,10,530
posx-eume-store,src/pages/online-orders/details/review-order.tsx,88,49,15,251,6,528
posx-ugaoo-backend,src/modules/unicommerce/service.ts,66,9,36,132,8,528
posx-comet-store,src/components/layouts/app/bottom-nav.tsx,40,15,11,169,13,520
posx-comet-backend,src/lib/helpers/calculate-promotional-discount.ts,37,9,25,121,14,518
posx-comet-store,src/components/app/orders/orders-report-options.tsx,43,12,15,124,12,516
posx-frido-store,src/pages/returns/details.tsx,86,12,36,504,6,516
posx-mokobara-backend,src/workflows/cart/steps/remove-personalization-step.ts,43,16,9,152,12,516
posx-comet-store,src/components/app/home/employee-selector.tsx,27,7,12,84,19,513
posx-comet-admin,src/hooks/api/auth.tsx,32,5,14,113,16,512
posx-frido-backend,src/modules/order-detail/service.ts,16,3,9,47,32,512
posx-mokobara-admin,src/hooks/api/gift-vouchers.tsx,64,11,28,231,8,512
posx-comet-backend,src/workflows/shopify-product/steps/update-product-variant-steps.ts,30,27,4,144,17,510
posx-ugaoo-backend,src/api/admin/order-detail/export/route.ts,30,22,3,141,17,510
posx-eume-store,src/components/app/inventory/grn/index.tsx,101,20,34,614,5,505
posx-comet-admin,src/routes/campaign-coupons/campaign-list/components/campaign-coupon-list-table/campaign-coupon-list-table.tsx,50,17,28,375,10,500
posx-mokobara-backend,src/subscribers/exchange-order-post-effects.ts,50,28,12,256,10,500
posx-comet-store,src/components/layouts/app/mobile-menu.tsx,31,14,13,194,16,496
posx-eume-backend,src/workflows/product/steps/get-product-with-metadata-step.ts,45,6,24,378,11,495
posx-mokobara-store,src/pages/orders/details/payment-details.tsx,29,10,8,120,17,493
posx-eume-admin,src/routes/unicommerce/unicommerce-panel/unicommerce-panel.tsx,82,9,26,283,6,492
posx-frido-backend,src/workflows/cart/steps/add-freebies-step.ts,41,37,5,151,12,492
posx-mokobara-backend,src/lib/helpers/handle-employee-updation.ts,49,13,11,168,10,490
posx-ugaoo-admin,src/routes/pos-device/pos-device-list/components/pos-device-list-table/pos-device-list-table.tsx,70,49,15,442,7,490
posx-frido-b2b-store,src/components/app/product/online-cart-card.tsx,54,34,14,204,9,486
posx-mokobara-backend,src/workflows/cart/steps/get-sku-step.ts,27,27,1,126,18,486
posx-comet-admin,src/components/layout/main-layout/main-layout.tsx,21,8,9,166,23,483
posx-comet-store,src/components/app/footfall/footfall-entry.tsx,40,11,12,187,12,480
posx-comet-store,src/store/apis/order.request.ts,32,3,16,118,15,480
posx-frido-store,src/pages/exchanges/details.tsx,80,18,27,459,6,480
posx-mokobara-backend,src/workflows/cart/steps/revalidate-online-items-step.ts,48,42,6,125,10,480
posx-mokobara-backend,src/workflows/payment-detail/steps/verify-payment-details-step.ts,40,21,3,141,12,480
posx-mokobara-backend,src/modules/employee-performance/service.ts,17,11,7,27,28,476
posx-mokobara-backend,src/workflows/inventory/steps/rfid-inward-step.ts,95,49,14,256,5,475
posx-eume-store,src/hooks/useAutoApplyStoreCoupon.ts,47,15,11,219,10,470
posx-mokobara-admin,src/routes/inventory/inventory-logs/components/inventory-logs-table.tsx,47,5,23,334,10,470
posx-mokobara-backend,src/workflows/storepro/steps/store-sku-rfid-mappings-step.ts,39,33,5,82,12,468
posx-mokobara-backend,src/api/admin/inventory/export/route.ts,39,24,4,125,12,468
posx-eume-admin,src/routes/gift-card-config/gift-card-config-list/gift-card-config-list.tsx,58,10,21,281,8,464
posx-mokobara-backend,src/workflows/unicommerce/steps/get-ean-inward-totals-step.ts,58,57,2,85,8,464
posx-mokobara-store,src/pages/orders/details/exchange-payment-details.tsx,58,17,18,220,8,464
posx-comet-backend,src/jobs/inventory-snapshot.ts,21,19,3,196,22,462
posx-frido-admin,src/routes/petty-cash/petty-cash-list/components/petty-cash-transactions-table/petty-cash-transactions-table.tsx,77,19,39,436,6,462
posx-mokobara-backend,src/workflows/employee-performance/steps/parse-employee-target-csv-step.ts,46,31,9,148,10,460
posx-ugaoo-store,src/components/app/inventory/stn-detail/index.tsx,51,20,18,362,9,459
posx-comet-backend,src/types/validators/order-return-exchange.ts,38,9,10,54,12,456
posx-comet-store,src/pages/gift-card/top-up/details.tsx,57,24,9,260,8,456
posx-eume-backend,src/subscribers/return-order-confirmed.ts,38,21,9,295,12,456
posx-mokobara-backend,src/scripts/collecntions.ts,32,9,12,144,14,448
posx-mokobara-store,src/pages/inventory/snapshot.tsx,64,54,10,224,7,448
posx-ugaoo-admin,src/routes/orders/order-create-claim/components/claim-create-form/claim-create-form.tsx,223,14,104,681,2,446
