sha256,repo_count,instance_count,relative_paths,repos
2c957b9d4aa203cd,2,2,src/types/validators/order-enums.ts,posx-frido-b2b-backend;posx-frido-backend
69f56d3daa279df2,2,2,src/types/customer.ts,posx-frido-b2b-store;posx-frido-store
ed66fc53768c3001,2,2,src/types/analytics.ts,posx-frido-b2b-store;posx-frido-store
d8684e9866da2590,2,2,src/types/cms.ts,posx-frido-b2b-store;posx-frido-store
8a86b2305a806c70,2,2,src/libs/helpers.ts,posx-frido-b2b-store;posx-frido-mobility-store
2c1fb2af853c6779,2,2,src/libs/print.ts,posx-frido-b2b-store;posx-frido-store
e239f14ec02ac5fd,2,2,src/libs/calculate-product-discount.ts,posx-frido-b2b-store;posx-frido-mobility-store
a0fe1822ec5fe095,2,2,src/libs/env.ts,posx-frido-b2b-store;posx-frido-store
38a8cb0f6f9c3c3b,2,2,src/store/apis/product.request.ts,posx-frido-b2b-store;posx-frido-mobility-store
a5ddffd4b6485dde,2,2,src/store/apis/analytics.request.ts,posx-frido-b2b-store;posx-frido-store
d97758f06c1e31d7,2,2,src/store/apis/pincode.request.ts,posx-frido-b2b-store;posx-frido-store
ef7ec06d19b8a0e5,2,2,src/store/apis/cart.request.ts,posx-frido-b2b-store;posx-frido-mobility-store
f5edef511889365d,2,2,src/store/apis/customer.request.ts,posx-frido-b2b-store;posx-frido-store
45930f950cc19f86,2,2,src/store/apis/exchange.request.ts,posx-frido-b2b-store;posx-frido-mobility-store
6bef1eb925a24beb,2,2,src/store/middlewares/pincode.middleware.ts,posx-frido-b2b-store;posx-frido-store
dcfe4293d9be1ee3,2,2,src/store/middlewares/customer.middleware.ts,posx-frido-b2b-store;posx-frido-store
2bb1f6507c3404a9,2,2,src/store/middlewares/exchange.middleware.ts,posx-frido-b2b-store;posx-frido-mobility-store
16ba01812753f783,2,2,src/store/middlewares/analytics.middleware.ts,posx-frido-b2b-store;posx-frido-store
c6cfcce0ca6d0132,2,2,src/store/actions/analytics.action.ts,posx-frido-b2b-store;posx-frido-store
4967d2e702e0a4d4,2,2,src/store/actions/exchange.actions.ts,posx-frido-b2b-store;posx-frido-mobility-store
245647b47d520c1d,2,2,src/store/reducers/analytics.reducer.ts,posx-frido-b2b-store;posx-frido-store
9ff5e48b6385a777,2,2,src/store/reducers/cart.reducer.ts,posx-frido-b2b-store;posx-frido-mobility-store
e2565defda511263,2,2,src/store/reducers/cms.reducer.ts,posx-frido-b2b-store;posx-frido-mobility-store
acb6f052fb5c6a2b,2,2,src/pages/exchanges/details.tsx,posx-frido-b2b-store;posx-frido-mobility-store
753c58a6c02befb0,2,2,src/pages/cms/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
e8427060c9c08218,2,2,src/pages/return-and-exchange/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
69f8e521b7f45577,2,2,src/pages/returns/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
9b524a5a4d5e2790,2,2,src/pages/returns/details.tsx,posx-frido-b2b-store;posx-frido-mobility-store
f79afcc3a2b383ec,2,2,src/pages/employees/index.tsx,posx-frido-b2b-store;posx-frido-store
ab8f7301cc59ec0d,2,2,src/pages/customer/orders/details.tsx,posx-frido-b2b-store;posx-frido-mobility-store
7674efd369092f46,2,2,src/pages/orders/details/payment-details.tsx,posx-frido-b2b-store;posx-frido-mobility-store
35fd4f98f3983775,2,2,src/pages/online-orders/details/confirm-order.tsx,posx-frido-b2b-store;posx-frido-mobility-store
f4ab1e5fa9ae4d80,2,2,src/components/exchange/OrderProductCard.tsx,posx-frido-b2b-store;posx-frido-mobility-store
4f14228545d9e2db,2,2,src/components/primitives/date-range-picker.tsx,posx-frido-b2b-store;posx-frido-store
062aebc9979150ef,2,2,src/components/primitives/tooltip.tsx,posx-frido-b2b-store;posx-frido-mobility-store
52eb06730a22e4ba,2,2,src/components/confetti/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
5113e69dcfcb74a2,2,2,src/components/app/order/order-card.tsx,posx-frido-b2b-store;posx-frido-mobility-store
4fb549698bbecd6b,2,2,src/components/app/order/frido-connect-modal.tsx,posx-frido-b2b-store;posx-frido-mobility-store
98862282abaa8610,2,2,src/components/app/home/cart-card.tsx,posx-frido-b2b-store;posx-frido-mobility-store
a41b118bb71344de,2,2,src/components/app/product/online-card.tsx,posx-frido-b2b-store;posx-frido-mobility-store
1e4f9e2b6a8fdd8b,2,2,src/components/app/product/adjust-price-modal-cart.tsx,posx-frido-b2b-store;posx-frido-mobility-store
2733ae70af75bfe3,2,2,src/components/app/product/freebie-modal.tsx,posx-frido-b2b-store;posx-frido-mobility-store
3b08b205cc0c3311,2,2,src/components/app/product/adjust-price-modal.tsx,posx-frido-b2b-store;posx-frido-mobility-store
a7fa3319053001cd,2,2,src/components/app/coupons/coupons-listing.tsx,posx-frido-b2b-store;posx-frido-mobility-store
fa31f1e83eefc5dd,2,2,src/components/app/analytics/analytics-search.tsx,posx-frido-b2b-store;posx-frido-store
28bc5049189d29ee,2,2,src/components/app/cms/add-cms/index.tsx,posx-frido-b2b-store;posx-frido-store
52557981aaea8ff0,2,2,src/components/app/product/online-promotional-coupon/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
e94c166108530466,2,2,src/components/app/product/online-campaign-coupon/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
c5a9933c4b902388,2,2,src/components/app/home/barcode-scanner/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
2755430e4472721d,2,2,src/components/app/home/custom-discount/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
7207a24d8f2b6d9d,2,2,src/components/app/home/campaign-coupon/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
9ddc3fcd004a1058,2,2,src/components/app/home/promotional-coupon/index.tsx,posx-frido-b2b-store;posx-frido-mobility-store
3147fcfa36ccc0a6,2,2,src/components/app/order/steps/customer-details/schema.ts,posx-frido-b2b-store;posx-frido-mobility-store
394a953582d193a2,2,2,src/modules/direct-razorpay/service.ts,posx-frido-backend;posx-frido-mobility-backend
64e101c8a814510f,2,3,src/modules/payment-details/migrations/.snapshot-frido.json;src/modules/payment-details/migrations/.snapshot-multitenant.json,posx-frido-backend;posx-frido-mobility-backend
b1914e6aaf0c8077,2,2,src/modules/payment-details/migrations/Migration20250812103420.ts,posx-frido-backend;posx-frido-mobility-backend
05fce8c2cf7cda4d,2,2,src/modules/payment-details/migrations/Migration20251008062239.ts,posx-frido-backend;posx-frido-mobility-backend
cf904579e13db1e7,2,2,src/modules/payment-details/migrations/Migration20251010115429.ts,posx-frido-backend;posx-frido-mobility-backend
375f0d784429b88b,2,2,src/modules/payment-details/migrations/Migration20251008062151.ts,posx-frido-backend;posx-frido-mobility-backend
3347c1b00af3e702,2,2,src/modules/campaign-coupon/migrations/Migration20250801114531.ts,posx-frido-backend;posx-frido-mobility-backend
15f23f7f4e43acca,2,2,src/modules/order-detail/migrations/Migration20251002080748.ts,posx-frido-backend;posx-frido-mobility-backend
4133c1150c11aa8a,2,2,src/modules/order-detail/migrations/Migration20250811122017.ts,posx-frido-backend;posx-frido-mobility-backend
3dec88ba984efa63,2,2,src/modules/order-detail/migrations/Migration20251011125319.ts,posx-frido-backend;posx-frido-mobility-backend
3ec583c75d234d13,2,2,src/modules/order-detail/migrations/Migration20251009183615.ts,posx-frido-backend;posx-frido-mobility-backend
5bcc49c5b83a97bf,2,2,src/modules/shopify-product/migrations/Migration20250716092701.ts,posx-frido-backend;posx-frido-mobility-backend
11e4736aba61d9af,2,2,src/modules/shopify-product/migrations/Migration20250808095439.ts,posx-frido-backend;posx-frido-mobility-backend
2cc1705670592092,2,2,src/modules/online-coupon/migrations/Migration20250812115502.ts,posx-frido-backend;posx-frido-mobility-backend
4cfa9038c8e83ee8,2,2,src/modules/store-details/migrations/Migration20251010194032.ts,posx-frido-backend;posx-frido-mobility-backend
a0da2e05865c1e87,2,2,src/modules/store-details/migrations/Migration20250120120000.ts,posx-frido-backend;posx-frido-mobility-backend
b71208479d938c09,2,2,src/modules/store-details/migrations/Migration20250929054843.ts,posx-frido-backend;posx-frido-mobility-backend
a72574d358f06ebd,2,2,src/modules/store-details/migrations/Migration20250818091939.ts,posx-frido-backend;posx-frido-mobility-backend
2060a599eb3fc7f9,2,2,src/modules/freebie/migrations/Migration20251004070958.ts,posx-frido-backend;posx-frido-mobility-backend
8e92fa0fc85a7f8d,2,2,src/modules/freebie/migrations/Migration20251002071445.ts,posx-frido-backend;posx-frido-mobility-backend
bb2d96510932f383,2,2,src/modules/quotation/migrations/Migration20250805061634.ts,posx-frido-backend;posx-frido-mobility-backend
bf779cb0f2736864,2,2,src/modules/quotation/migrations/Migration20250811113458.ts,posx-frido-backend;posx-frido-mobility-backend
8674cdb2a0705674,2,2,src/modules/quotation/migrations/Migration20250807093427.ts,posx-frido-backend;posx-frido-mobility-backend
f99b2d9f1e566563,2,2,src/modules/quotation/migrations/Migration20251009182914.ts,posx-frido-backend;posx-frido-mobility-backend
c1c19567a3a80542,2,2,src/modules/quotation/migrations/Migration20250808040908.ts,posx-frido-backend;posx-frido-mobility-backend
8015bff1cf601a97,2,2,src/modules/quotation/migrations/Migration20250811061446.ts,posx-frido-backend;posx-frido-mobility-backend
9f23583acbfcefbb,2,2,src/modules/quotation/migrations/Migration20250807212821.ts,posx-frido-backend;posx-frido-mobility-backend
ee6b05fcabf2f871,2,2,src/modules/quotation/migrations/Migration20250805125304.ts,posx-frido-backend;posx-frido-mobility-backend
3f62f6a867e4895f,2,2,src/api/shopify/webhooks/middlewares.ts,posx-frido-backend;posx-frido-mobility-backend
1aebc92dc6b6ed35,2,2,src/api/shopify/webhooks/product/create/route.ts,posx-frido-backend;posx-frido-mobility-backend
8e7ba28f24db62c6,2,2,src/api/admin/freebie/route.ts,posx-frido-backend;posx-frido-mobility-backend
85980a04774b947f,2,2,src/api/admin/campaign-coupon/route.ts,posx-frido-backend;posx-frido-mobility-backend
e4050a2a776aeaf9,2,2,src/api/admin/campaign-coupon/export/route.ts,posx-frido-backend;posx-frido-mobility-backend
48960ec244cef0d3,2,2,src/api/admin/campaign-coupon/[id]/route.ts,posx-frido-backend;posx-frido-mobility-backend
358cfa4de81ccf92,2,2,src/api/admin/pos-inventory/job/route.ts,posx-frido-backend;posx-frido-mobility-backend
09a6be6a629db7f7,2,2,src/api/admin/freebie/check-applicable/route.ts,posx-frido-backend;posx-frido-mobility-backend
3e257e3d5ce43ab7,2,2,src/api/admin/quotation/[id]/route.ts,posx-frido-backend;posx-frido-mobility-backend
31447b14b19946a9,2,2,src/api/admin/quotation/[id]/address/route.ts,posx-frido-backend;posx-frido-mobility-backend
7bfd20b27f6e2cfa,2,2,src/api/admin/quotation/[id]/convert/route.ts,posx-frido-backend;posx-frido-mobility-backend
813930f671734d54,2,2,src/api/datachannel/cms/route.ts,posx-frido-backend;posx-frido-mobility-backend
0293a3ff2aafe78d,2,2,src/lib/helpers/calculate-promotional-discount-helper.ts,posx-frido-backend;posx-frido-mobility-backend
f3aff7461961002d,2,2,src/lib/helpers/calculate-promotional-discount.ts,posx-frido-backend;posx-frido-mobility-backend
bda8cfd389a0f1e0,2,2,src/workflows/campaign-coupon/steps/calculate-coupon-discount-step.ts,posx-frido-backend;posx-frido-mobility-backend
efc7145c70aeb1bc,2,2,src/workflows/helper/workflows/remove-discount.ts,posx-frido-backend;posx-frido-mobility-backend
2b8bdb47f344798a,2,2,src/workflows/helper/steps/remove-discount-step.ts,posx-frido-backend;posx-frido-mobility-backend
86bf7b8d80f1eda7,2,2,src/workflows/pos-inventory/steps/update-shopping-bag-count-step.ts,posx-frido-backend;posx-frido-mobility-backend
bc39a4a51e330c9c,2,2,src/workflows/order-detail/steps/update-order-detail-step.ts,posx-frido-backend;posx-frido-mobility-backend
a2315530321c3cdc,2,2,src/workflows/cart/workflows/apply-promotional-coupon.ts,posx-frido-backend;posx-frido-mobility-backend
eabc078d16ecd9d0,2,2,src/workflows/cart/workflows/apply-custom-coupon.ts,posx-frido-backend;posx-frido-mobility-backend
f8faff556c30119e,2,2,src/workflows/cart/workflows/add-to-cart.ts,posx-frido-backend;posx-frido-mobility-backend
8ca2d88a93d0daed,2,2,src/workflows/cart/workflows/validate-and-add-freebies.ts,posx-frido-backend;posx-frido-mobility-backend
46a89dedc3000736,2,2,src/workflows/cart/workflows/remove-from-cart.ts,posx-frido-backend;posx-frido-mobility-backend
7c7eedc47257ef6d,2,2,src/workflows/cart/workflows/apply-campaign-coupon.ts,posx-frido-backend;posx-frido-mobility-backend
05bcbc0920a7706f,2,2,src/workflows/cart/workflows/change-cart-variant-quantity.ts,posx-frido-backend;posx-frido-mobility-backend
996b16d6367bc1b2,2,2,src/workflows/cart/workflows/add-freebies.ts,posx-frido-backend;posx-frido-mobility-backend
cd4c048507452f3c,2,2,src/workflows/cart/steps/apply-custom-coupon-step.ts,posx-frido-backend;posx-frido-mobility-backend
34458edd21cbd4c8,2,2,src/workflows/cart/steps/get-medusa-product-variant-step.ts,posx-frido-backend;posx-frido-mobility-backend
36f1bac49845af88,2,2,src/workflows/cart/steps/remove-promotional-coupon-step.ts,posx-frido-backend;posx-frido-mobility-backend
7242e5b831ed46fc,2,2,src/workflows/cart/steps/remove-freebie-from-cart-step.ts,posx-frido-backend;posx-frido-mobility-backend
a218caaf01ce6cae,2,2,src/workflows/cart/steps/change-cart-variant-quantity-step.ts,posx-frido-backend;posx-frido-mobility-backend
03ec5d0ca45dd76f,2,2,src/workflows/cart/steps/remove-item-from-shopify-cart-step.ts,posx-frido-backend;posx-frido-mobility-backend
92b765c57f6e188b,2,2,src/workflows/cart/steps/remove-campaign-coupon-step.ts,posx-frido-backend;posx-frido-mobility-backend
676f80f36396fddd,2,2,src/workflows/cart/steps/get-sku-from-unicommerce-step.ts,posx-frido-backend;posx-frido-mobility-backend
2c2d9fec8de13c63,2,2,src/workflows/cart/steps/apply-promotional-coupon-step.ts,posx-frido-backend;posx-frido-mobility-backend
835349549b75534d,2,2,src/workflows/online-cart/workflows/change-business-type.ts,posx-frido-backend;posx-frido-mobility-backend
5332e5217015c4a5,2,2,src/workflows/online-cart/steps/change-business-step.ts,posx-frido-backend;posx-frido-mobility-backend
3017d9afafad86e9,2,2,src/workflows/online-cart/steps/adjust-cart-item-price-step.ts,posx-frido-backend;posx-frido-mobility-backend
